customer_id,name,segment,region_id,signup_date
1,Globex Robotics,SMB,2,2023-11-18
2,Globex Energy,Mid-Market,3,2023-09-12
3,Globex Foods,SMB,4,2024-09-06
4,Globex Systems,SMB,5,2023-09-07
5,Initech Manufacturing,Mid-Market,1,2024-02-03
6,Initech Group,Mid-Market,3,2024-01-26
7,Initech Logistics,Mid-Market,4,2025-01-11
8,Initech Systems,Mid-Market,1,2024-03-23
9,Initech Foods,Mid-Market,2,2023-10-03
10,Initech Energy,Mid-Market,4,2023-06-11
11,Initech Health,SMB,5,2024-10-22
12,Initech Labs,Enterprise,5,2025-04-09
13,Umbrella Logistics,Mid-Market,3,2023-02-19
14,Umbrella Retail,SMB,2,2023-04-05
15,Umbrella Group,Enterprise,5,2023-02-21
16,Umbrella Foods,SMB,5,2023-09-19
17,Soylent Health,Mid-Market,2,2025-05-29
18,Soylent Robotics,Mid-Market,2,2023-08-23
19,Soylent Robotics,Mid-Market,2,2024-06-17
20,Soylent Manufacturing,SMB,1,2024-09-27
21,Soylent Logistics,Enterprise,2,2023-10-23
22,Soylent Labs,Mid-Market,4,2023-06-21
23,Hooli Logistics,SMB,5,2024-12-30
24,Hooli Manufacturing,SMB,1,2023-10-03
25,Hooli Health,Enterprise,1,2025-03-08
26,Hooli Systems,Enterprise,3,2025-01-10
27,Vehement Health,Enterprise,2,2023-09-09
28,Vehement Logistics,Mid-Market,2,2025-02-23
29,Vehement Foods,Enterprise,1,2024-05-27
30,Vehement Labs,SMB,4,2023-05-19
31,Massive Logistics,Mid-Market,2,2025-05-16
32,Massive Health,SMB,5,2025-05-04
33,Massive Energy,Enterprise,3,2024-04-18
34,Massive Retail,Mid-Market,2,2024-12-28
35,Stark Retail,SMB,5,2025-02-11
36,Stark Logistics,SMB,4,2023-05-20
37,Stark Logistics,Mid-Market,4,2024-06-25
38,Wayne Robotics,Enterprise,5,2025-01-13
39,Wayne Robotics,Enterprise,4,2024-10-24
40,Wayne Labs,Mid-Market,5,2024-08-14
41,Wayne Robotics,Mid-Market,5,2024-02-22
42,Wayne Health,Enterprise,4,2023-05-10
43,Wayne Logistics,SMB,1,2024-09-06
44,Wonka Foods,SMB,5,2024-02-27
45,Wonka Robotics,Mid-Market,3,2024-01-18
46,Wonka Logistics,Mid-Market,4,2023-07-23
47,Wonka Logistics,SMB,4,2025-03-04
48,Wonka Health,Mid-Market,5,2025-03-20
49,Acme Health,Enterprise,3,2024-02-10
50,Acme Retail,SMB,1,2023-08-21
51,Acme Systems,Mid-Market,4,2024-02-13
52,Acme Systems,Enterprise,4,2024-01-16
53,Acme Retail,Mid-Market,2,2024-03-01
54,Acme Logistics,SMB,2,2024-10-17
55,Acme Manufacturing,Mid-Market,3,2023-02-24
56,Acme Energy,Mid-Market,4,2024-10-31
57,Cyberdyne Manufacturing,Enterprise,3,2023-12-30
58,Cyberdyne Labs,Enterprise,4,2023-02-11
59,Cyberdyne Systems,SMB,3,2023-12-06
60,Cyberdyne Retail,Mid-Market,5,2023-06-19
61,Cyberdyne Logistics,SMB,2,2025-02-01
62,Cyberdyne Labs,Mid-Market,1,2023-01-26
63,Tyrell Retail,Enterprise,5,2024-01-16
64,Tyrell Logistics,Mid-Market,4,2023-12-09
65,Tyrell Group,Mid-Market,3,2024-09-28
66,Tyrell Energy,Mid-Market,3,2023-02-22
67,Tyrell Labs,Enterprise,1,2024-03-24
68,Tyrell Systems,Mid-Market,5,2023-02-07
69,Tyrell Labs,Enterprise,5,2024-06-02
70,Nakatomi Health,Mid-Market,3,2024-11-07
71,Nakatomi Systems,Enterprise,3,2023-05-28
72,Nakatomi Health,SMB,1,2024-09-23
73,Gekko Foods,Mid-Market,2,2023-02-12
74,Gekko Logistics,Mid-Market,1,2023-05-17
75,Gekko Retail,Mid-Market,5,2023-07-18
76,Gekko Robotics,SMB,4,2024-07-14
77,Gekko Group,Mid-Market,2,2023-01-01
78,Gekko Manufacturing,SMB,1,2023-09-29
79,Oscorp Systems,SMB,2,2024-04-24
80,Oscorp Health,Enterprise,4,2023-04-27
81,Oscorp Manufacturing,Enterprise,4,2025-04-11
82,Oscorp Energy,Enterprise,3,2025-05-21
83,Oscorp Systems,Mid-Market,5,2024-07-25
84,Oscorp Labs,Enterprise,3,2024-10-08
85,Oscorp Energy,Enterprise,2,2024-11-14
86,Oscorp Group,Enterprise,3,2025-04-05
87,Pied Piper Retail,SMB,1,2024-03-20
88,Pied Piper Systems,Mid-Market,3,2024-06-05
89,Pied Piper Foods,Mid-Market,4,2023-02-22
90,Pied Piper Group,Mid-Market,3,2023-04-20
91,Pied Piper Health,Enterprise,2,2025-05-14
92,Pied Piper Retail,SMB,4,2023-06-06
93,Pied Piper Manufacturing,Enterprise,5,2024-06-01
94,Aperture Robotics,Enterprise,4,2024-03-05
95,Aperture Group,Mid-Market,3,2023-03-25
96,Aperture Retail,SMB,5,2024-05-07
97,Aperture Manufacturing,Mid-Market,1,2024-03-22
98,Aperture Robotics,Mid-Market,2,2024-02-29
99,Vandelay Logistics,Mid-Market,3,2023-05-02
100,Vandelay Foods,SMB,4,2025-06-19
101,Vandelay Systems,Mid-Market,5,2023-08-08
102,Vandelay Robotics,Mid-Market,2,2023-10-21
103,Vandelay Retail,Enterprise,2,2023-12-11
104,Vandelay Health,Enterprise,3,2024-08-30
105,Bluth Manufacturing,SMB,1,2023-03-26
106,Bluth Logistics,SMB,5,2024-03-14
107,Bluth Systems,SMB,2,2023-02-22
108,Bluth Logistics,Mid-Market,2,2023-02-03
109,Bluth Health,Mid-Market,3,2024-11-26
110,Bluth Energy,Enterprise,5,2023-03-31
