order_id,customer_id,rep_id,order_date,status
1,6,3,2024-11-13,completed
2,79,1,2024-07-15,completed
3,37,3,2024-03-07,completed
4,5,7,2024-12-12,completed
5,86,6,2024-08-03,completed
6,76,2,2024-05-31,completed
7,56,7,2024-05-05,refunded
8,25,6,2024-03-08,completed
9,58,3,2024-11-30,completed
10,63,6,2024-05-31,completed
11,26,3,2025-03-03,completed
12,103,10,2025-01-16,completed
13,26,4,2024-05-31,completed
14,93,10,2025-07-14,completed
15,107,7,2025-04-19,refunded
16,34,5,2025-10-29,completed
17,68,4,2024-02-11,completed
18,105,9,2025-03-02,completed
19,110,4,2025-02-02,completed
20,43,4,2025-05-06,completed
21,54,3,2025-03-12,completed
22,70,9,2025-10-16,completed
23,100,5,2024-07-02,completed
24,46,2,2024-12-27,completed
25,21,3,2024-12-16,completed
26,110,7,2025-03-18,completed
27,30,8,2025-07-24,completed
28,74,6,2024-01-18,pending
29,18,2,2025-08-31,completed
30,64,9,2025-07-18,completed
31,40,9,2025-03-11,completed
32,86,3,2024-09-21,completed
33,68,6,2024-03-17,completed
34,92,2,2024-05-20,refunded
35,13,5,2024-12-07,completed
36,28,10,2024-03-21,completed
37,85,5,2024-04-12,refunded
38,12,6,2024-10-02,completed
39,62,1,2025-04-25,completed
40,24,10,2024-04-16,completed
41,94,3,2024-06-22,completed
42,102,4,2025-05-19,completed
43,79,7,2024-07-16,completed
44,37,5,2024-09-12,completed
45,83,10,2025-05-24,completed
46,25,5,2024-05-11,completed
47,92,1,2024-08-24,pending
48,51,3,2024-08-11,completed
49,27,2,2024-01-15,completed
50,42,7,2025-01-22,completed
51,25,4,2025-05-16,completed
52,21,1,2024-03-02,completed
53,36,3,2025-03-12,completed
54,89,5,2025-05-03,pending
55,100,4,2025-10-22,completed
56,67,5,2024-04-11,completed
57,37,5,2024-09-07,completed
58,3,6,2025-07-21,completed
59,40,7,2024-09-14,completed
60,80,4,2024-09-07,completed
61,30,7,2025-07-29,completed
62,18,4,2025-02-24,completed
63,88,9,2025-03-27,completed
64,5,5,2024-01-12,refunded
65,16,2,2024-09-13,completed
66,22,1,2025-05-16,completed
67,65,10,2024-08-22,refunded
68,90,3,2024-01-28,completed
69,23,3,2024-08-27,completed
70,38,8,2024-03-03,completed
71,93,4,2025-01-10,completed
72,1,3,2025-01-18,completed
73,28,2,2024-06-06,completed
74,69,10,2024-08-08,pending
75,26,7,2024-10-29,completed
76,110,2,2025-07-27,completed
77,30,3,2024-09-03,refunded
78,71,2,2024-12-13,completed
79,43,9,2024-05-19,completed
80,109,4,2024-05-23,completed
81,57,2,2025-03-08,completed
82,22,5,2024-12-11,completed
83,89,1,2024-02-01,completed
84,104,2,2025-03-25,completed
85,41,7,2025-11-19,completed
86,86,10,2025-07-06,completed
87,6,9,2025-03-21,completed
88,85,5,2024-09-08,completed
89,49,10,2024-05-05,completed
90,48,1,2025-01-09,completed
91,61,1,2025-02-20,completed
92,35,1,2024-05-05,completed
93,71,8,2025-05-25,refunded
94,83,2,2025-02-13,completed
95,87,5,2024-06-23,completed
96,97,3,2025-01-12,completed
97,38,7,2024-06-09,completed
98,44,9,2025-11-30,completed
99,49,5,2025-02-25,completed
100,90,9,2025-06-15,completed
101,89,6,2024-02-08,completed
102,27,4,2024-08-01,pending
103,51,4,2024-05-24,completed
104,77,8,2025-06-22,completed
105,26,4,2025-08-30,completed
