ticket_id,customer_id,opened_date,closed_date,priority,csat
1,69,2025-03-16,2025-03-26,P1,4
2,91,2025-02-27,2025-03-15,P1,2
3,105,2025-02-27,2025-03-09,P2,4
4,101,2025-04-29,2025-05-16,P4,2
5,55,2025-05-27,2025-06-09,P3,1
6,8,2025-12-05,2025-12-18,P1,5
7,78,2025-10-06,2025-10-12,P1,3
8,75,2025-04-25,2025-05-03,P2,5
9,98,2025-09-06,2025-09-16,P2,4
10,81,2025-06-03,2025-06-14,P2,5
11,100,2025-10-04,2025-10-22,P3,4
12,18,2025-05-23,2025-06-02,P3,4
13,44,2026-01-05,2026-01-20,P2,5
14,52,2025-04-09,2025-04-26,P2,5
15,103,2025-03-27,2025-04-04,P2,5
16,60,2025-02-15,,P4,
17,99,2025-03-24,2025-04-09,P4,4
18,95,2025-05-09,2025-05-24,P2,5
19,81,2025-08-29,2025-08-29,P3,4
20,61,2025-10-14,2025-10-28,P4,5
21,68,2025-02-19,2025-03-09,P1,3
22,102,2025-11-09,2025-11-13,P3,4
23,12,2026-01-31,2026-02-05,P2,5
24,66,2026-01-21,2026-01-21,P4,5
25,24,2025-06-28,2025-07-05,P1,3
26,65,2025-07-04,2025-07-12,P2,3
27,41,2025-10-03,2025-10-19,P1,5
28,34,2026-01-28,,P2,
29,45,2025-07-25,,P2,
30,65,2025-03-19,2025-04-01,P3,4
31,79,2025-01-05,2025-01-14,P4,4
32,47,2025-08-15,2025-08-18,P4,5
33,84,2025-03-13,2025-03-15,P3,5
34,8,2025-09-26,2025-10-09,P3,4
35,50,2025-05-30,2025-06-19,P1,4
36,88,2025-12-15,2025-12-31,P2,5
37,27,2025-01-11,2025-01-29,P4,4
38,23,2025-09-24,2025-10-13,P4,4
39,60,2026-04-23,2026-04-29,P2,2
40,32,2025-01-09,2025-01-26,P4,1
41,21,2026-01-17,2026-01-29,P1,3
42,31,2026-04-29,2026-05-05,P1,4
43,66,2026-02-27,2026-03-08,P3,5
44,74,2025-02-11,,P2,
45,33,2026-03-13,2026-04-02,P1,5
46,30,2026-04-28,,P1,
47,50,2025-07-30,2025-08-06,P2,4
48,68,2025-05-21,2025-06-01,P3,4
49,97,2025-01-02,2025-01-19,P4,4
50,20,2025-03-25,2025-04-12,P1,5
51,82,2025-01-01,2025-01-17,P1,4
52,49,2026-01-10,2026-01-23,P1,5
53,24,2026-03-20,2026-04-01,P1,3
54,82,2025-02-23,2025-03-09,P2,5
55,66,2026-03-01,2026-03-21,P4,5
56,106,2025-03-10,2025-03-19,P4,5
57,50,2025-11-17,2025-12-02,P4,3
58,29,2026-03-11,2026-03-15,P1,4
59,23,2026-04-12,2026-04-20,P2,3
60,45,2025-05-17,2025-05-25,P1,1
61,103,2025-02-04,2025-02-24,P2,5
