timestamp,service,level,message,latency_ms,request_id
2026-06-08T00:00:00,notification,INFO,request handled,209,req-388389
2026-06-08T00:00:13,auth-gw,INFO,healthcheck ok,208,req-207473
2026-06-08T00:00:26,notification,ERROR,upstream timeout,4256,req-133326
2026-06-08T00:00:39,fleet-api,INFO,healthcheck ok,79,req-629903
2026-06-08T00:00:52,billing,INFO,token refreshed,70,req-850800
2026-06-08T00:01:05,notification,WARN,rate limit near threshold,76,req-571029
2026-06-08T00:01:18,billing,INFO,request handled,214,req-944962
2026-06-08T00:01:31,auth-gw,WARN,rate limit near threshold,107,req-391369
2026-06-08T00:01:44,auth-gw,INFO,task dispatched,46,req-197251
2026-06-08T00:01:57,task-scheduler,INFO,task dispatched,236,req-460663
2026-06-08T00:02:10,billing,INFO,request handled,206,req-581741
2026-06-08T00:02:23,billing,INFO,cache warmed,40,req-678856
2026-06-08T00:02:36,telemetry-ingest,WARN,connection pool 85% used,167,req-301629
2026-06-08T00:02:49,notification,INFO,request handled,189,req-338968
2026-06-08T00:03:02,telemetry-ingest,INFO,healthcheck ok,241,req-205907
2026-06-08T00:03:15,task-scheduler,INFO,cache warmed,182,req-974628
2026-06-08T00:03:28,telemetry-ingest,INFO,task dispatched,110,req-319684
2026-06-08T00:03:41,notification,INFO,request handled,175,req-765822
2026-06-08T00:03:54,auth-gw,INFO,healthcheck ok,61,req-584714
2026-06-08T00:04:07,task-scheduler,INFO,token refreshed,76,req-817870
2026-06-08T00:04:20,telemetry-ingest,CRITICAL,service unavailable,1062,req-944151
2026-06-08T00:04:33,telemetry-ingest,INFO,task dispatched,36,req-321231
2026-06-08T00:04:46,billing,ERROR,invalid command rejected,4889,req-514850
2026-06-08T00:04:59,notification,INFO,healthcheck ok,87,req-246413
2026-06-08T00:05:12,auth-gw,ERROR,invalid command rejected,4309,req-711878
2026-06-08T00:05:25,task-scheduler,INFO,healthcheck ok,55,req-634277
2026-06-08T00:05:38,task-scheduler,INFO,request handled,240,req-214975
2026-06-08T00:05:51,auth-gw,WARN,retrying upstream call,222,req-813536
2026-06-08T00:06:04,task-scheduler,WARN,latency above 800ms,118,req-500156
2026-06-08T00:06:17,billing,INFO,token refreshed,84,req-680099
2026-06-08T00:06:30,fleet-api,WARN,latency above 800ms,194,req-663054
2026-06-08T00:06:43,telemetry-ingest,CRITICAL,telemetry ingest backlog > 10k,1713,req-407757
2026-06-08T00:06:56,task-scheduler,INFO,cache warmed,20,req-857168
2026-06-08T00:07:09,notification,INFO,token refreshed,215,req-287330
2026-06-08T00:07:22,billing,INFO,task dispatched,235,req-769987
2026-06-08T00:07:35,billing,WARN,retrying upstream call,59,req-492077
2026-06-08T00:07:48,auth-gw,INFO,token refreshed,20,req-728038
2026-06-08T00:08:01,telemetry-ingest,INFO,request handled,48,req-480612
2026-06-08T00:08:14,telemetry-ingest,INFO,request handled,81,req-694916
2026-06-08T00:08:27,fleet-api,INFO,cache warmed,228,req-172574
2026-06-08T00:08:40,billing,CRITICAL,service unavailable,4693,req-676510
2026-06-08T00:08:53,auth-gw,INFO,token refreshed,243,req-736059
2026-06-08T00:09:06,task-scheduler,INFO,token refreshed,213,req-865388
2026-06-08T00:09:19,notification,INFO,task dispatched,122,req-804314
2026-06-08T00:09:32,notification,INFO,cache warmed,250,req-642717
2026-06-08T00:09:45,task-scheduler,INFO,healthcheck ok,77,req-167136
2026-06-08T00:09:58,telemetry-ingest,INFO,token refreshed,161,req-341292
2026-06-08T00:10:11,billing,INFO,request handled,38,req-842225
2026-06-08T00:10:24,notification,INFO,healthcheck ok,37,req-132938
2026-06-08T00:10:37,telemetry-ingest,INFO,token refreshed,80,req-392004
2026-06-08T00:10:50,notification,INFO,healthcheck ok,158,req-238739
2026-06-08T00:11:03,notification,WARN,rate limit near threshold,82,req-922733
2026-06-08T00:11:16,task-scheduler,INFO,healthcheck ok,44,req-201639
2026-06-08T00:11:29,notification,INFO,task dispatched,128,req-531071
2026-06-08T00:11:42,task-scheduler,ERROR,upstream timeout,1606,req-163556
2026-06-08T00:11:55,task-scheduler,ERROR,invalid command rejected,1695,req-360735
2026-06-08T00:12:08,auth-gw,INFO,token refreshed,134,req-246991
2026-06-08T00:12:21,task-scheduler,INFO,task dispatched,138,req-361941
2026-06-08T00:12:34,fleet-api,INFO,token refreshed,45,req-153045
2026-06-08T00:12:47,notification,INFO,request handled,43,req-890170
2026-06-08T00:13:00,auth-gw,INFO,cache warmed,144,req-604740
2026-06-08T00:13:13,auth-gw,INFO,request handled,62,req-497382
2026-06-08T00:13:26,fleet-api,INFO,task dispatched,220,req-923267
2026-06-08T00:13:39,task-scheduler,INFO,cache warmed,198,req-865990
2026-06-08T00:13:52,billing,WARN,rate limit near threshold,59,req-299122
2026-06-08T00:14:05,telemetry-ingest,INFO,request handled,168,req-871476
2026-06-08T00:14:18,billing,INFO,task dispatched,34,req-152578
2026-06-08T00:14:31,billing,INFO,token refreshed,238,req-656926
2026-06-08T00:14:44,auth-gw,INFO,token refreshed,40,req-992697
2026-06-08T00:14:57,auth-gw,INFO,token refreshed,37,req-808011
2026-06-08T00:15:10,auth-gw,INFO,request handled,247,req-697347
2026-06-08T00:15:23,auth-gw,WARN,latency above 800ms,178,req-185965
2026-06-08T00:15:36,task-scheduler,WARN,connection pool 85% used,86,req-314181
2026-06-08T00:15:49,notification,ERROR,invalid command rejected,2975,req-515011
2026-06-08T00:16:02,auth-gw,WARN,connection pool 85% used,137,req-431535
2026-06-08T00:16:15,fleet-api,INFO,cache warmed,179,req-690341
2026-06-08T00:16:28,fleet-api,INFO,token refreshed,74,req-630458
2026-06-08T00:16:41,telemetry-ingest,INFO,task dispatched,245,req-172132
2026-06-08T00:16:54,auth-gw,INFO,task dispatched,60,req-559469
2026-06-08T00:17:07,billing,ERROR,invalid command rejected,864,req-800305
2026-06-08T00:17:20,billing,INFO,request handled,244,req-240814
2026-06-08T00:17:33,telemetry-ingest,INFO,request handled,210,req-680097
2026-06-08T00:17:46,auth-gw,INFO,task dispatched,174,req-320861
2026-06-08T00:17:59,notification,INFO,healthcheck ok,195,req-765046
2026-06-08T00:18:12,telemetry-ingest,INFO,cache warmed,84,req-987204
2026-06-08T00:18:25,fleet-api,INFO,cache warmed,232,req-390120
2026-06-08T00:18:38,fleet-api,INFO,task dispatched,217,req-237174
2026-06-08T00:18:51,notification,INFO,healthcheck ok,209,req-563298
2026-06-08T00:19:04,billing,ERROR,429 from fleet-api,879,req-217308
2026-06-08T00:19:17,fleet-api,WARN,retrying upstream call,159,req-137778
2026-06-08T00:19:30,telemetry-ingest,WARN,retrying upstream call,130,req-233636
2026-06-08T00:19:43,fleet-api,INFO,task dispatched,250,req-934794
2026-06-08T00:19:56,fleet-api,INFO,healthcheck ok,194,req-361650
2026-06-08T00:20:09,notification,INFO,task dispatched,219,req-687080
2026-06-08T00:20:22,task-scheduler,WARN,retrying upstream call,80,req-270395
2026-06-08T00:20:35,auth-gw,INFO,request handled,65,req-872343
2026-06-08T00:20:48,telemetry-ingest,INFO,healthcheck ok,88,req-266931
2026-06-08T00:21:01,notification,INFO,cache warmed,243,req-140605
2026-06-08T00:21:14,task-scheduler,INFO,healthcheck ok,229,req-582662
2026-06-08T00:21:27,telemetry-ingest,INFO,healthcheck ok,77,req-124813
2026-06-08T00:21:40,notification,INFO,cache warmed,104,req-392136
2026-06-08T00:21:53,fleet-api,CRITICAL,db primary failover,4973,req-519093
2026-06-08T00:22:06,notification,INFO,task dispatched,27,req-220944
2026-06-08T00:22:19,telemetry-ingest,INFO,token refreshed,87,req-140115
2026-06-08T00:22:32,fleet-api,WARN,rate limit near threshold,108,req-863934
2026-06-08T00:22:45,telemetry-ingest,INFO,token refreshed,150,req-221263
2026-06-08T00:22:58,task-scheduler,WARN,retrying upstream call,85,req-146542
2026-06-08T00:23:11,notification,INFO,request handled,153,req-945687
2026-06-08T00:23:24,billing,WARN,retrying upstream call,113,req-552248
2026-06-08T00:23:37,fleet-api,WARN,connection pool 85% used,179,req-429164
2026-06-08T00:23:50,notification,INFO,task dispatched,149,req-424308
2026-06-08T00:24:03,notification,INFO,task dispatched,123,req-831076
2026-06-08T00:24:16,telemetry-ingest,WARN,retrying upstream call,69,req-540869
2026-06-08T00:24:29,notification,INFO,healthcheck ok,177,req-696750
2026-06-08T00:24:42,telemetry-ingest,INFO,token refreshed,233,req-100425
2026-06-08T00:24:55,telemetry-ingest,INFO,healthcheck ok,130,req-923927
2026-06-08T00:25:08,billing,WARN,connection pool 85% used,139,req-563246
2026-06-08T00:25:21,task-scheduler,WARN,retrying upstream call,150,req-596171
2026-06-08T00:25:34,notification,INFO,request handled,92,req-640490
2026-06-08T00:25:47,notification,WARN,connection pool 85% used,43,req-958179
2026-06-08T00:26:00,auth-gw,WARN,connection pool 85% used,77,req-945742
2026-06-08T00:26:13,auth-gw,INFO,request handled,31,req-356736
2026-06-08T00:26:26,task-scheduler,WARN,latency above 800ms,136,req-534572
2026-06-08T00:26:39,notification,WARN,retrying upstream call,203,req-830180
2026-06-08T00:26:52,task-scheduler,INFO,cache warmed,82,req-254739
2026-06-08T00:27:05,notification,WARN,latency above 800ms,248,req-887443
2026-06-08T00:27:18,fleet-api,CRITICAL,db primary failover,2240,req-943170
2026-06-08T00:27:31,notification,INFO,cache warmed,32,req-684482
2026-06-08T00:27:44,auth-gw,INFO,cache warmed,54,req-940346
2026-06-08T00:27:57,task-scheduler,WARN,connection pool 85% used,213,req-564071
2026-06-08T00:28:10,billing,ERROR,429 from fleet-api,4452,req-266889
2026-06-08T00:28:23,notification,INFO,cache warmed,86,req-888295
2026-06-08T00:28:36,auth-gw,WARN,connection pool 85% used,216,req-915451
2026-06-08T00:28:49,billing,INFO,healthcheck ok,90,req-561239
2026-06-08T00:29:02,fleet-api,ERROR,invalid command rejected,3025,req-452161
2026-06-08T00:29:15,telemetry-ingest,INFO,request handled,55,req-258157
2026-06-08T00:29:28,auth-gw,INFO,healthcheck ok,200,req-324345
2026-06-08T00:29:41,fleet-api,INFO,cache warmed,104,req-668969
2026-06-08T00:29:54,task-scheduler,INFO,request handled,72,req-973349
2026-06-08T00:30:07,task-scheduler,INFO,token refreshed,198,req-120480
2026-06-08T00:30:20,billing,INFO,cache warmed,21,req-468845
2026-06-08T00:30:33,telemetry-ingest,ERROR,429 from fleet-api,4232,req-664365
2026-06-08T00:30:46,notification,ERROR,db connection refused,2597,req-386193
2026-06-08T00:30:59,task-scheduler,INFO,request handled,119,req-452457
2026-06-08T00:31:12,notification,WARN,rate limit near threshold,205,req-273061
2026-06-08T00:31:25,task-scheduler,INFO,token refreshed,156,req-128276
2026-06-08T00:31:38,task-scheduler,WARN,latency above 800ms,41,req-773971
2026-06-08T00:31:51,task-scheduler,INFO,cache warmed,66,req-152727
2026-06-08T00:32:04,telemetry-ingest,INFO,task dispatched,74,req-576786
2026-06-08T00:32:17,telemetry-ingest,INFO,cache warmed,91,req-888539
2026-06-08T00:32:30,task-scheduler,INFO,request handled,140,req-120324
2026-06-08T00:32:43,notification,INFO,request handled,109,req-335113
2026-06-08T00:32:56,notification,INFO,request handled,213,req-132537
2026-06-08T00:33:09,auth-gw,INFO,request handled,179,req-259784
2026-06-08T00:33:22,auth-gw,INFO,cache warmed,191,req-219946
2026-06-08T00:33:35,billing,INFO,cache warmed,199,req-368690
2026-06-08T00:33:48,telemetry-ingest,INFO,token refreshed,175,req-884256
2026-06-08T00:34:01,notification,INFO,healthcheck ok,99,req-213349
2026-06-08T00:34:14,billing,INFO,task dispatched,167,req-810250
2026-06-08T00:34:27,task-scheduler,INFO,healthcheck ok,39,req-720859
2026-06-08T00:34:40,notification,WARN,retrying upstream call,46,req-831059
2026-06-08T00:34:53,telemetry-ingest,WARN,latency above 800ms,223,req-693423
2026-06-08T00:35:06,fleet-api,INFO,token refreshed,129,req-793655
2026-06-08T00:35:19,telemetry-ingest,INFO,token refreshed,185,req-457806
2026-06-08T00:35:32,fleet-api,INFO,cache warmed,47,req-554582
2026-06-08T00:35:45,telemetry-ingest,WARN,rate limit near threshold,201,req-260422
2026-06-08T00:35:58,task-scheduler,INFO,token refreshed,186,req-383201
2026-06-08T00:36:11,billing,INFO,cache warmed,139,req-556732
2026-06-08T00:36:24,notification,WARN,connection pool 85% used,102,req-993085
2026-06-08T00:36:37,auth-gw,INFO,task dispatched,245,req-572700
2026-06-08T00:36:50,auth-gw,ERROR,429 from fleet-api,3904,req-452737
2026-06-08T00:37:03,fleet-api,INFO,task dispatched,66,req-611233
2026-06-08T00:37:16,auth-gw,INFO,task dispatched,107,req-393243
2026-06-08T00:37:29,billing,WARN,connection pool 85% used,162,req-110644
2026-06-08T00:37:42,billing,INFO,request handled,81,req-855053
2026-06-08T00:37:55,task-scheduler,INFO,token refreshed,214,req-351997
2026-06-08T00:38:08,notification,INFO,cache warmed,134,req-931450
2026-06-08T00:38:21,fleet-api,INFO,task dispatched,76,req-524045
2026-06-08T00:38:34,notification,INFO,task dispatched,189,req-709805
2026-06-08T00:38:47,telemetry-ingest,INFO,token refreshed,155,req-460455
2026-06-08T00:39:00,task-scheduler,ERROR,invalid command rejected,4517,req-384076
2026-06-08T00:39:13,telemetry-ingest,INFO,healthcheck ok,50,req-856321
2026-06-08T00:39:26,auth-gw,INFO,request handled,210,req-661894
2026-06-08T00:39:39,notification,INFO,healthcheck ok,75,req-874483
2026-06-08T00:39:52,task-scheduler,INFO,token refreshed,214,req-650121
2026-06-08T00:40:05,billing,INFO,request handled,233,req-303547
2026-06-08T00:40:18,telemetry-ingest,INFO,task dispatched,65,req-416950
2026-06-08T00:40:31,fleet-api,ERROR,db connection refused,1172,req-157174
2026-06-08T00:40:44,billing,INFO,healthcheck ok,183,req-889359
2026-06-08T00:40:57,task-scheduler,INFO,request handled,166,req-398151
2026-06-08T00:41:10,task-scheduler,INFO,cache warmed,107,req-293319
2026-06-08T00:41:23,fleet-api,INFO,cache warmed,49,req-962050
2026-06-08T00:41:36,fleet-api,INFO,cache warmed,38,req-705050
2026-06-08T00:41:49,notification,WARN,latency above 800ms,58,req-256445
2026-06-08T00:42:02,billing,INFO,request handled,83,req-224205
2026-06-08T00:42:15,billing,ERROR,429 from fleet-api,2648,req-913373
2026-06-08T00:42:28,billing,INFO,cache warmed,133,req-411797
2026-06-08T00:42:41,billing,INFO,task dispatched,165,req-751194
2026-06-08T00:42:54,fleet-api,WARN,latency above 800ms,215,req-317881
2026-06-08T00:43:07,notification,INFO,task dispatched,189,req-185131
2026-06-08T00:43:20,auth-gw,INFO,healthcheck ok,161,req-178711
2026-06-08T00:43:33,auth-gw,INFO,cache warmed,135,req-822858
2026-06-08T00:43:46,billing,INFO,task dispatched,28,req-342720
2026-06-08T00:43:59,telemetry-ingest,ERROR,invalid command rejected,4519,req-174637
2026-06-08T00:44:12,notification,INFO,task dispatched,221,req-929683
2026-06-08T00:44:25,notification,WARN,retrying upstream call,128,req-220351
2026-06-08T00:44:38,billing,INFO,healthcheck ok,88,req-966785
2026-06-08T00:44:51,auth-gw,INFO,request handled,62,req-931131
2026-06-08T00:45:04,telemetry-ingest,WARN,connection pool 85% used,132,req-230394
2026-06-08T00:45:17,task-scheduler,WARN,connection pool 85% used,199,req-522060
2026-06-08T00:45:30,telemetry-ingest,INFO,token refreshed,146,req-559023
2026-06-08T00:45:43,fleet-api,WARN,latency above 800ms,247,req-553014
2026-06-08T00:45:56,notification,INFO,token refreshed,84,req-127121
2026-06-08T00:46:09,fleet-api,INFO,token refreshed,170,req-121753
2026-06-08T00:46:22,notification,INFO,token refreshed,30,req-900177
2026-06-08T00:46:35,auth-gw,INFO,token refreshed,186,req-563711
2026-06-08T00:46:48,telemetry-ingest,INFO,token refreshed,131,req-765620
2026-06-08T00:47:01,task-scheduler,INFO,cache warmed,109,req-528184
2026-06-08T00:47:14,telemetry-ingest,INFO,request handled,239,req-268637
2026-06-08T00:47:27,telemetry-ingest,INFO,cache warmed,93,req-794769
2026-06-08T00:47:40,task-scheduler,ERROR,upstream timeout,1521,req-429795
2026-06-08T00:47:53,telemetry-ingest,INFO,request handled,217,req-523808
2026-06-08T00:48:06,billing,INFO,token refreshed,138,req-533321
2026-06-08T00:48:19,fleet-api,INFO,token refreshed,112,req-752878
2026-06-08T00:48:32,task-scheduler,WARN,rate limit near threshold,214,req-154118
2026-06-08T00:48:45,auth-gw,INFO,token refreshed,53,req-402020
2026-06-08T00:48:58,task-scheduler,WARN,rate limit near threshold,51,req-130271
2026-06-08T00:49:11,notification,WARN,retrying upstream call,201,req-266071
2026-06-08T00:49:24,telemetry-ingest,WARN,latency above 800ms,161,req-527809
2026-06-08T00:49:37,fleet-api,INFO,request handled,138,req-223172
2026-06-08T00:49:50,notification,INFO,cache warmed,203,req-406039
2026-06-08T00:50:03,billing,ERROR,invalid command rejected,4752,req-595158
2026-06-08T00:50:16,auth-gw,INFO,token refreshed,57,req-502219
2026-06-08T00:50:29,auth-gw,WARN,retrying upstream call,241,req-173201
2026-06-08T00:50:42,telemetry-ingest,CRITICAL,db primary failover,4959,req-380150
2026-06-08T00:50:55,fleet-api,INFO,task dispatched,234,req-715448
2026-06-08T00:51:08,billing,WARN,rate limit near threshold,241,req-255813
2026-06-08T00:51:21,task-scheduler,INFO,cache warmed,108,req-448588
2026-06-08T00:51:34,billing,ERROR,429 from fleet-api,3436,req-297816
2026-06-08T00:51:47,notification,INFO,token refreshed,118,req-344907
2026-06-08T00:52:00,task-scheduler,INFO,task dispatched,210,req-595951
2026-06-08T00:52:13,notification,INFO,cache warmed,189,req-930884
2026-06-08T00:52:26,notification,INFO,cache warmed,29,req-232378
2026-06-08T00:52:39,billing,WARN,connection pool 85% used,242,req-205239
2026-06-08T00:52:52,task-scheduler,INFO,token refreshed,136,req-116093
2026-06-08T00:53:05,notification,INFO,cache warmed,242,req-786587
2026-06-08T00:53:18,auth-gw,INFO,cache warmed,220,req-377896
2026-06-08T00:53:31,telemetry-ingest,WARN,rate limit near threshold,186,req-184216
2026-06-08T00:53:44,telemetry-ingest,WARN,rate limit near threshold,101,req-757246
2026-06-08T00:53:57,notification,ERROR,429 from fleet-api,1094,req-747453
2026-06-08T00:54:10,fleet-api,INFO,task dispatched,78,req-883041
2026-06-08T00:54:23,fleet-api,INFO,request handled,214,req-764532
2026-06-08T00:54:36,notification,INFO,cache warmed,62,req-827712
2026-06-08T00:54:49,telemetry-ingest,INFO,request handled,103,req-934816
2026-06-08T00:55:02,fleet-api,INFO,task dispatched,115,req-551607
2026-06-08T00:55:15,auth-gw,INFO,token refreshed,125,req-693418
2026-06-08T00:55:28,notification,INFO,healthcheck ok,64,req-182804
2026-06-08T00:55:41,billing,INFO,token refreshed,194,req-352528
2026-06-08T00:55:54,task-scheduler,WARN,retrying upstream call,79,req-583550
2026-06-08T00:56:07,notification,INFO,cache warmed,85,req-799233
2026-06-08T00:56:20,fleet-api,INFO,task dispatched,193,req-673149
2026-06-08T00:56:33,auth-gw,INFO,cache warmed,108,req-716113
2026-06-08T00:56:46,telemetry-ingest,WARN,rate limit near threshold,196,req-362246
2026-06-08T00:56:59,task-scheduler,INFO,healthcheck ok,118,req-994787
2026-06-08T00:57:12,task-scheduler,INFO,healthcheck ok,117,req-699704
2026-06-08T00:57:25,telemetry-ingest,WARN,connection pool 85% used,199,req-409571
2026-06-08T00:57:38,fleet-api,WARN,rate limit near threshold,90,req-108491
2026-06-08T00:57:51,billing,WARN,latency above 800ms,175,req-881369
2026-06-08T00:58:04,task-scheduler,INFO,healthcheck ok,175,req-940886
2026-06-08T00:58:17,telemetry-ingest,INFO,healthcheck ok,178,req-362801
2026-06-08T00:58:30,notification,ERROR,db connection refused,1595,req-757937
2026-06-08T00:58:43,notification,INFO,task dispatched,221,req-562236
2026-06-08T00:58:56,fleet-api,WARN,connection pool 85% used,207,req-237795
2026-06-08T00:59:09,fleet-api,INFO,task dispatched,211,req-535686
2026-06-08T00:59:22,auth-gw,INFO,healthcheck ok,221,req-665610
2026-06-08T00:59:35,telemetry-ingest,INFO,token refreshed,89,req-970813
2026-06-08T00:59:48,auth-gw,INFO,cache warmed,226,req-409478
2026-06-08T01:00:01,notification,INFO,request handled,139,req-178957
2026-06-08T01:00:14,auth-gw,ERROR,db connection refused,4055,req-986827
2026-06-08T01:00:27,billing,INFO,request handled,222,req-513741
2026-06-08T01:00:40,fleet-api,INFO,token refreshed,51,req-576877
2026-06-08T01:00:53,telemetry-ingest,WARN,connection pool 85% used,169,req-499534
2026-06-08T01:01:06,notification,INFO,request handled,192,req-345180
2026-06-08T01:01:19,task-scheduler,INFO,token refreshed,246,req-688678
2026-06-08T01:01:32,telemetry-ingest,WARN,retrying upstream call,185,req-166287
2026-06-08T01:01:45,notification,INFO,task dispatched,186,req-528129
2026-06-08T01:01:58,fleet-api,INFO,request handled,29,req-419149
2026-06-08T01:02:11,task-scheduler,INFO,request handled,80,req-663658
2026-06-08T01:02:24,auth-gw,INFO,cache warmed,114,req-803055
2026-06-08T01:02:37,notification,WARN,rate limit near threshold,170,req-878325
2026-06-08T01:02:50,notification,INFO,cache warmed,187,req-203831
2026-06-08T01:03:03,task-scheduler,WARN,rate limit near threshold,91,req-134305
2026-06-08T01:03:16,notification,INFO,healthcheck ok,133,req-566297
2026-06-08T01:03:29,auth-gw,INFO,request handled,195,req-485178
2026-06-08T01:03:42,billing,WARN,connection pool 85% used,35,req-517479
2026-06-08T01:03:55,telemetry-ingest,INFO,request handled,237,req-964226
2026-06-08T01:04:08,task-scheduler,INFO,healthcheck ok,184,req-770556
2026-06-08T01:04:21,billing,INFO,request handled,221,req-449709
2026-06-08T01:04:34,auth-gw,INFO,token refreshed,72,req-171942
2026-06-08T01:04:47,billing,INFO,token refreshed,75,req-952547
2026-06-08T01:05:00,auth-gw,INFO,healthcheck ok,221,req-724932
2026-06-08T01:05:13,fleet-api,INFO,healthcheck ok,53,req-666456
2026-06-08T01:05:26,telemetry-ingest,INFO,request handled,189,req-127032
2026-06-08T01:05:39,auth-gw,INFO,task dispatched,222,req-926730
2026-06-08T01:05:52,auth-gw,WARN,connection pool 85% used,24,req-282710
2026-06-08T01:06:05,telemetry-ingest,INFO,healthcheck ok,209,req-541409
2026-06-08T01:06:18,billing,INFO,request handled,141,req-570050
2026-06-08T01:06:31,telemetry-ingest,INFO,token refreshed,47,req-573962
2026-06-08T01:06:44,billing,INFO,token refreshed,31,req-862569
2026-06-08T01:06:57,notification,INFO,task dispatched,137,req-774591
2026-06-08T01:07:10,fleet-api,INFO,cache warmed,236,req-521126
2026-06-08T01:07:23,task-scheduler,WARN,latency above 800ms,145,req-847006
2026-06-08T01:07:36,task-scheduler,INFO,request handled,102,req-737846
